LAT,LON,scrubbed.name,GENUS,SPECIES,FAMILY,YEAR,FULLNAME,uID,ALT,GEODESC,PLANTDESC,LOCDESC,HABDESC,SCRUBBEDGENUS
18.35,-65.81666,Prestoea montana,Prestoea,montana,ARECACEAE,1985,Prestoea montana Hook.f.,GBIF urn:catalog:MO:Tropicos:291962,500,"Caribbean National Forest, El Verde radiation center.",NA,NA,NA,Prestoea
18.31055,-65.79111,Prestoea montana,Prestoea,montana,ARECACEAE,1969,Prestoea montana Hook.f.,GBIF NA,NA,El Yunque National Forest,Common tree throughout the forest.,NA,NA,Prestoea
18.40505556,-66.73098056,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2008,Tabebuia heterophylla (DC.) Britton                                                                ,3623 UPRRP,NULL,"Arecibo, Bo. Dominguito/Bo. Tanama,   El Tallonal",NULL,NULL,"Slopes of the mogotes, limestone secondary and primary forests, ridgetops.",Tabebuia
17.95055556,-66.96833333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2006,Tabebuia heterophylla (DC.) Britton                                                                ,3636 UPRRP,NULL,"Guanica, Bo. Montalva,   Guanica Forest Reserve, End of road 325, at La Jungla. At the base of Montalva hills.",Shrub 2.5 m high; pink flowers.,"End of road 325, at La Jungla. At the base of Montalva hills.",Rocky area.,Tabebuia
18.27536667,-65.86703333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2004,Tabebuia heterophylla (DC.) Britton                                                                ,3639 UPRRP,NULL,"Canovanas, Bo. Cubuy,   Brisas del Yunque, A neighborhood off Rd 186 km 10.1. Ackerman residence.","Flowers pink, to 7-8 m tall.",A neighborhood off Rd 186 km 10.1. Ackerman residence.,"Wet forest zone, residential area.",Tabebuia
17.96055556,-66.8475,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2004,Tabebuia heterophylla (DC.) Britton                                                                ,3642 UPRRP,NULL,"Guayanilla, Bo. Boca,   Guanica Forest Reserve, Playa de Tamarindo at the end of road 333, from the Sapo Concho pond taking the trail to the cave ""North"". At the border area of the municipalities of Yauco and Guayanilla.",Shrub 1.5 m high with pink flowers.,"Playa de Tamarindo at the end of road 333, from the Sapo Concho pond taking the trail to the cave ""North"". At the border area of the municipalities of Yauco and Guayanilla.",Growing at the edge of the trail.,Tabebuia
18.32048333,-65.81585,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2010,Tabebuia heterophylla (DC.) Britton                                                                ,3643 UPRRP,NULL,"Rio Grande, Bosque Nacional El Yunque,   El Verde, Quebrada Sonadora, ca. 160 m rio arriba a partir del puente colgante.","arbol ca. 10 m. Corola rosada con el centro amarillo, caliz verde.                                                                                                                                                                                            ","Quebrada Sonadora, ca. 160 m rio arriba a partir del puente colgante.",Bosque humedo en las margenes.                                                                                                                                            ,Tabebuia
18.20191667,-65.64861667,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2011,Tabebuia heterophylla (DC.) Britton                                                                ,3649 UPRRP,Just above sea level.,"Ceiba, Roosevelt Roads, at end of Intrepid Rd., near old water treatment plant.",Trees to 3 m.,"Roosevelt Roads, at end of Intrepid Rd., near old water treatment plant.",At rocky shoreline.,Tabebuia
18.47483333,-66.50133333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2001,Tabebuia heterophylla (DC.) Britton                                                                ,3674 UPRRP,NULL,"Manati, Bo. Tierras Nuevas Poniente, coast just south of Punta Boquilla",Lavender fl.,coast just south of Punta Boquilla,Second-growth forest at base of limestone cliff,Tabebuia
18.3625,-66.69183333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1994,Tabebuia heterophylla (DC.) Britton                                                                ,3683 UPRRP,NULL,"Arecibo, Bo. Rio Arriba,   Rio Abajo Forest Reserve, N end of proposed Rt 10, midway along road parallel to and E of pilot road",Pink fl.,"N end of proposed Rt 10, midway along road parallel to and E of pilot road",Forest in limestone hills,Tabebuia
18.3625,-66.69183333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1994,Tabebuia heterophylla (DC.) Britton                                                                ,3694 UPRRP,NULL,"Arecibo, Bo. Rio Arriba,   Rio Abajo Forest Reserve, N end of proposed Rt 10, at beginning of road parallel to and E of pilot road",Pink fl.,"N end of proposed Rt 10, at beginning of road parallel to and E of pilot road",Forest in limestone hills,Tabebuia
18.38333333,-65.76666667,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1991,Tabebuia heterophylla (DC.) Britton                                                                ,3710 UPRRP,NULL,"Rio Grande,   Punta Picua, West side of Punta Picua.",Corollas pink.,West side of Punta Picua.,NULL,Tabebuia
18.41666667,-65.83333333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1994,Tabebuia heterophylla (DC.) Britton                                                                ,3711 UPRRP,NULL,"Rio Grande,   Punta Picua, Along the access road from the condominiums at the point for about 7km along the point.","Fruit green corollas pink, flowering with flush of new leaves.",Along the access road from the condominiums at the point for about 7km along the point.,Mangroves and thickets,Tabebuia
18.425,-66.2,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2001,Tabebuia heterophylla (DC.) Britton                                                                ,3730 UPRRP,NULL,"Toa Baja, Sabana Seca, Lands owned by the U.S. Naval Security Group Activity; South Track.",Pink flowers.,Lands owned by the U.S. Naval Security Group Activity; South Track.,Forest edge along a limestone down hill,Tabebuia
18.41666667,-66.26666667,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1989,Tabebuia heterophylla (DC.) Britton                                                                ,3744 UPRRP,NULL,"Bayamon, Mogotes de Nevarez. W of Bayamon.",NULL,Mogotes de Nevarez. W of Bayamon.,NULL,Tabebuia
18.18333333,-65.83333333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1989,Tabebuia heterophylla (DC.) Britton                                                                ,3824 UPRRP,NULL,"Luquillo, Caribbean Forest Reserve, Vereda Bisley. Bisley Watershed #3.",NULL,Vereda Bisley. Bisley Watershed #3.,"Above mature ""tabonuco"" forest over volcanic rock",Tabebuia
18.15,-66.983333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla (DC.) Britton,393 MAPR,650,Maricao,NA,"Maricao Forest Reserve.   Río Maricao drainage. Serpentinitic soil. Road margins, E of Hwy 120, Km 17.9.",,Tabebuia
18.214444,-67.141944,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1988,Tabebuia heterophylla (DC.) Britton,2563 MAPR,13,Mayagüez,NA,"University of Puerto Rico, trees in front of the University library.",,Tabebuia
18.214444,-67.141944,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1988,Tabebuia heterophylla (DC.) Britton,2564 MAPR,12,Mayagüez,NA,University of Puerto Rico; trees in front of the University library.,,Tabebuia
18.214444,-67.141944,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1988,Tabebuia heterophylla (DC.) Britton,2565 MAPR,12,Mayagüez,NA,"University of Puerto Rico, Mayagüez campus.",,Tabebuia
18.0425,-67.20222,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla (DC.) Britton,2711 MAPR,10,Cabo Rojo,NA,Punta Guaniquilla Natural Reserve.  At the woodlands of the S facing slope of the Cerro Guaniquilla.,,Tabebuia
18.36609,-67.26756,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1963,Tabebuia heterophylla (DC.) Britton,2718 MAPR,0,Rincón,NA,Around nuclear reactor (BONUS site).,,Tabebuia
18.166667,-66.994444,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1991,Tabebuia heterophylla (DC.) Britton,2719 MAPR,670,Maricao,NA,"Maricao Forest Reserve.  On hilltop near power lines, on E side of Hwy 120 at km 17.9-18.0.","Subtropical Wet Forest, on poorly developed, mineralized, rocky, serpentine-derived soil, with Calophyllum brasiliense, Calycogonium krugii, Clusia clusioides, Guettarda pungens, G. scabra, Jacquinia umbellata, Randia aculeata, Rondeletia inermis, Sabinea punicea, Tabebuia heterophylla.",Tabebuia
18.091667,-66.908333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1990,Tabebuia heterophylla (DC.) Britton,2721 MAPR,110,Yauco,NA,Susúa State Forest.,"In an area close to the office with other species:  Pterocarpus indicus, Casusarina equisetifolia, Tectona grandis and Stahlia monosperma.",Tabebuia
17.972222,-66.873611,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1990,Tabebuia heterophylla (DC.) Britton,2725 MAPR,140,Guánica,NA,"Guanica State Forest.  Along Carr. 344, ca km 5.3.","Dry forest on very shallow soil and exposed limestone, plants sparse.  Shrubby vegetation with Eugenia maleolens, Exostema caribaeum, Coccoloba microstachya, Ateramnus lucidus and Amyris elemifera.",Tabebuia
18.091667,-66.925,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1991,Tabebuia heterophylla (DC.) Britton,2730 MAPR,180,Yauco,NA,Susúa State forest.  About 100 m S of last intersection between the road that goes to the forest.  Following the margins of Río Loco going NE.,"Vegetation dominated by Neolaugeria resinosa, Rheedia hessii, Tabebuia haemantha, Guettarda pungens.",Tabebuia
17.93622,-67.193,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1962,Tabebuia heterophylla (DC.) Britton,2731 MAPR,0,Cabo Rojo,NA,Los Morillos.,,Tabebuia
18.04194,-67.19972,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla (DC.) Britton,2733 MAPR,5,Cabo Rojo,NA,Punta Guaniquilla Natural Reserve.  At open site N of main lagoon.,,Tabebuia
17.98556,-67.1675,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1988,Tabebuia heterophylla (DC.) Britton,2737 MAPR,20,Cabo Rojo,NA,"Cabo Rojo National Wildlife Refuge, off carr. 301, km 5.1.",,Tabebuia
18.021528,-67.104667,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2005,Tabebuia heterophylla (DC.) Britton,38294 MAPR,11,Lajas,NA,"U.S. National Wildlife Refuge at launa Cartagena, south sector; Solar Plot 2.",Planted by road.,Tabebuia
17.960417,-66.8475,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2004,Tabebuia heterophylla (DC.) Britton,42467 MAPR,4,Guayanilla,NA,"Guánica Forest Reserve.  Playa Tamarindo at the end of road 333, from the Sapo Concho pond taking the trail to the cave North.    At the border area of the municipalities of Yauco and Guayanilla.",Growing at the edge of the trail.,Tabebuia
17.956528,-66.847139,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2005,Tabebuia heterophylla (DC.) Britton,42638 MAPR,30,Guayanilla,NA,"Guánica Forest Reserve.  Playa Tamarindo, at the end of road 333, by the Sapo Concho pond.  On hill slope to the northeast side of the pond.",South facing slope on rocky area.,Tabebuia
18.001667,-67.110278,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2006,Tabebuia heterophylla (DC.) Britton,44837 MAPR,290,Lajas,NA,"U.S. National Wildlife Refuge, La Tinaja Tract, E-NE facing slope at summit of Cerro Mariquita.","Solitary on dense, shrubby, windswept thicket just below summit on E-facing slope.   Mosaic of dry subtropical forest, brushland, and pasture on chert-devided soil.",Tabebuia
17.950472,-66.96825,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2006,Tabebuia heterophylla (DC.) Britton,46953 MAPR,3,Guánica,NA,"Guánica Forest Reserve.  End of road 325, at La Jungla.",Rocky area at the base of Montalva hills.,Tabebuia
17.955019,-66.8346,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2011,Tabebuia heterophylla (DC.) Britton,57876 MAPR,0,Guayanilla,NA,"Guánica Forest Reserve.  Plot R180, 4090 m ESE of the Forest office.",Forest / Limestone.,Tabebuia
18.15,-66.98333333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,PREPI 31573,NA,NA,NA,NA,NA,Tabebuia
18.21444444,-67.14194444,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1988,Tabebuia heterophylla,PREPI 33723,NA,NA,NA,NA,NA,Tabebuia
18.21444444,-67.14194444,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1988,Tabebuia heterophylla,PREPI 33724,NA,NA,NA,NA,NA,Tabebuia
18.21444444,-67.14194444,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1988,Tabebuia heterophylla,PREPI 33725,NA,NA,NA,NA,NA,Tabebuia
18.0425,-67.20222,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,PREPI 33871,NA,NA,NA,NA,NA,Tabebuia
18.36609,-67.26756,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1963,Tabebuia heterophylla,PREPI 33878,NA,NA,NA,NA,NA,Tabebuia
18.16666667,-66.99444444,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1991,Tabebuia heterophylla,PREPI 33879,NA,NA,NA,NA,NA,Tabebuia
18.09166667,-66.90833333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1990,Tabebuia heterophylla,PREPI 33881,NA,NA,NA,NA,NA,Tabebuia
17.97222222,-66.87361111,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1990,Tabebuia heterophylla,PREPI 33885,NA,NA,NA,NA,NA,Tabebuia
18.09166667,-66.925,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1991,Tabebuia heterophylla,PREPI 33890,NA,NA,NA,NA,NA,Tabebuia
17.93622,-67.193,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1962,Tabebuia heterophylla,PREPI 33891,NA,NA,NA,NA,NA,Tabebuia
18.04194,-67.19972,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,PREPI 33893,NA,NA,NA,NA,NA,Tabebuia
17.98556,-67.1675,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1988,Tabebuia heterophylla,PREPI 33897,NA,NA,NA,NA,NA,Tabebuia
18.02166667,-67.10472222,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2005,Tabebuia heterophylla,PREPI 53835,NA,NA,NA,NA,NA,Tabebuia
17.96055556,-66.8475,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2004,Tabebuia heterophylla,PREPI 54909,NA,NA,NA,NA,NA,Tabebuia
17.95666667,-66.84722222,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2005,Tabebuia heterophylla,PREPI 54972,NA,NA,NA,NA,NA,Tabebuia
18.00166667,-67.11027778,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2006,Tabebuia heterophylla,PREPI 55668,NA,NA,NA,NA,NA,Tabebuia
17.95055556,-66.96833333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2006,Tabebuia heterophylla,PREPI 56584,NA,NA,NA,NA,NA,Tabebuia
18.3625,-66.69183333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,NA,Tabebuia heterophylla,PREPI 63521,NA,NA,NA,NA,NA,Tabebuia
18.3625,-66.69183333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,NA,Tabebuia heterophylla,PREPI 63522,NA,NA,NA,NA,NA,Tabebuia
18.47483333,-66.50133333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,NA,Tabebuia heterophylla,PREPI 63551,NA,NA,NA,NA,NA,Tabebuia
18.41666667,-66.26666667,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,NA,Tabebuia heterophylla,PREPI 63744,NA,NA,NA,NA,NA,Tabebuia
18.425,-66.2,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,NA,Tabebuia heterophylla,PREPI 63749,NA,NA,NA,NA,NA,Tabebuia
18.18333333,-65.83333333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,NA,Tabebuia heterophylla,PREPI 63770,NA,NA,NA,NA,NA,Tabebuia
18.41666667,-65.83333333,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,NA,Tabebuia heterophylla,PREPI 63779,NA,NA,NA,NA,NA,Tabebuia
18.38333333,-65.76666667,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,NA,Tabebuia heterophylla,PREPI 63780,NA,NA,NA,NA,NA,Tabebuia
18.0652,-66.064,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,625 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0863,-66.0751,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,626 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0567,-66.0845,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,627 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0584,-66.0841,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,628 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0849,-66.0749,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,629 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0784,-66.0698,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,630 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0754,-66.0693,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,631 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0738,-66.0692,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,632 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0733,-66.0684,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,633 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3452,-66.4774,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,634 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3266,-66.5221,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,635 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3537,-65.7153,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,636 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3376,-65.7386,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,637 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3371,-65.7378,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,1995,Tabebuia heterophylla,638 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0863,-66.0751,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1451 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0567,-66.0845,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1452 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0584,-66.0841,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1453 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0849,-66.0749,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1454 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0784,-66.0698,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1455 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0754,-66.0693,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1456 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0736,-66.0709,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1457 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0738,-66.0692,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1458 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.0733,-66.0684,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1459 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3296,-66.5245,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1460 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3458,-66.478,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1461 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3266,-66.5221,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1462 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3532,-66.4849,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1463 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3517,-65.7342,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1464 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3426,-65.7533,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1465 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3537,-65.7153,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1466 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3536,-65.7147,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1467 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3459,-65.7367,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1468 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3376,-65.7386,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1469 Chrono,NA,NA,NA,NA,NA,Tabebuia
18.3371,-65.7378,Tabebuia heterophylla,Tabebuia,heterophylla,BIGNONIACEAE,2007,Tabebuia heterophylla,1470 Chrono,NA,NA,NA,NA,NA,Tabebuia
